
18:38:33   19/05/2019 200000VND  9.9979e+08VND   0     send    00000000000003  NGUYEN VINH HIEN   350554
18:39:14   19/05/2019 200000VND  9.99789e+08VND   10550     send    00000000000003  NGUYEN VINH HIEN   350556
18:39:40   19/05/2019 200000VND  9.99579e+08VND   0     send    00000000000003  NGUYEN VINH HIEN   350558
18:39:45   19/05/2019 200000VND  9.99579e+08VND   10550     send    00000000000003  NGUYEN VINH HIEN   350560
18:40:45   19/05/2019 200000VND  9.99369e+08VND   0     send    00000000000003  NGUYEN VINH HIEN   350562
18:40:49   19/05/2019 200000VND  9.99368e+08VND   10550     send    00000000000003  NGUYEN VINH HIEN   350564
18:42:58   19/05/2019 200000VND  9.99158e+08VND   0     send    00000000000003  NGUYEN VINH HIEN   350566
18:43:03   19/05/2019 200000VND  9.99158e+08VND   10550     send    00000000000003  NGUYEN VINH HIEN   350568
18:43:23   19/05/2019 200000VND  9.98948e+08VND   0     send    00000000000003  NGUYEN VINH HIEN   350570
18:43:26   19/05/2019 200000VND  9.98947e+08VND   10550     send    00000000000003  NGUYEN VINH HIEN   350572
18:51:59   19/05/2019 200000VND  9.98737e+08VND   0     send    00000000000003  NGUYEN VINH HIEN   350584
18:52:03   19/05/2019 200000VND  9.98736e+08VND   10550     send    00000000000003  NGUYEN VINH HIEN   350586
18:56:11   19/05/2019 500000VND  9.98226e+08VND   0     send    00000000000004  TRAN BINH AN   350588
18:56:14   19/05/2019 500000VND  9.98225e+08VND   10550     send    00000000000004  TRAN BINH AN   350590
18:57:48   19/05/2019 5000000VND  9.93205e+08VND   0     send    00000000000003  NGUYEN VINH HIEN   350592
18:57:53   19/05/2019 5000000VND  9.93204e+08VND   20550     send    00000000000003  NGUYEN VINH HIEN   350594
20:52:34   21/05/2019 50000VND  4.94615e+06VND   3850      with    Not Applicable  N/A              350598
20:54:29   21/05/2019 0VND       4.94615e+06VND   0         lock    Not Applicable  N/A              350599
21:5:55   21/05/2019 50000VND  4.8923e+06VND   3850      with    Not Applicable  N/A              350601
21:7:35   21/05/2019 50000VND  4.83845e+06VND   3850      with    Not Applicable  N/A              350603
21:8:22   21/05/2019 50000VND  4.7846e+06VND   3850      with    Not Applicable  N/A              350605
21:8:48   21/05/2019 200000VND  4.5746e+06VND   0     send    00000000000003  NGUYEN VINH HIEN   350606
21:10:22   21/05/2019 200000VND  4.3646e+06VND   0     send    00000000000005  HUYNH QUOC KHANH   350607
21:11:26   21/05/2019 200000VND  4.1546e+06VND   0     send    00000000000001  PHAN THI TRINH   350608
21:11:50   21/05/2019 200000VND  4.15405e+06VND   10550     send    00000000000001  PHAN THI TRINH   350610
21:12:41   21/05/2019 200000VND  3.94405e+06VND   0     send    00000000000006  VO VAN TRUNG   350612
21:12:44   21/05/2019 200000VND  3.9435e+06VND   10550     send    00000000000006  VO VAN TRUNG   350614
21:13:57   21/05/2019 200000VND  3.7335e+06VND   0     send    00000000000003  NGUYEN VINH HIEN   350616
21:13:59   21/05/2019 200000VND  3.73295e+06VND   10550     send    00000000000003  NGUYEN VINH HIEN   350618
21:14:34   21/05/2019 50000VND  3.6791e+06VND   3850      with    Not Applicable  N/A              350621
21:14:55   21/05/2019 200000VND  3.4691e+06VND   0     send    00000000000001  PHAN THI TRINH   350622
21:14:57   21/05/2019 200000VND  3.46855e+06VND   10550     send    00000000000001  PHAN THI TRINH   350624
21:15:59   21/05/2019 200000VND  3.25855e+06VND   0     send    00000000000003  NGUYEN VINH HIEN   350626
21:16:01   21/05/2019 200000VND  3.258e+06VND   10550     send    00000000000003  NGUYEN VINH HIEN   350628
21:16:35   21/05/2019 200000VND  3.048e+06VND   0     send    00000000000004  TRAN BINH AN   350630
21:16:37   21/05/2019 200000VND  3.04745e+06VND   10550     send    00000000000004  TRAN BINH AN   350632
21:17:26   21/05/2019 50000VND  2.9936e+06VND   3850      with    Not Applicable  N/A              350635
21:18:23   21/05/2019 200000VND  2.7836e+06VND   0     send    00000000000004  TRAN BINH AN   350636
21:18:26   21/05/2019 200000VND  2.78305e+06VND   10550     send    00000000000004  TRAN BINH AN   350638
21:18:47   21/05/2019 200000VND  2.57305e+06VND   0     send    00000000000003  NGUYEN VINH HIEN   350640
21:18:53   21/05/2019 200000VND  2.5725e+06VND   10550     send    00000000000003  NGUYEN VINH HIEN   350642
21:40:32   21/05/2019 50000VND  4946150VND   3850      with    Not Applicable  N/A              350645
21:41:44   21/05/2019 50000VND  4892300VND   3850      with    Not Applicable  N/A              350647
21:42:12   21/05/2019 200000VND  4682300VND   0     send    00000000000004  TRAN BINH AN   350648
21:44:54   21/05/2019 50000VND  4628450VND   3850      with    Not Applicable  N/A              350650
21:53:51   21/05/2019 50000VND  4574600VND   3850      with    Not Applicable  N/A              350652
21:54:03   21/05/2019 200000VND  4364600VND   0     send    00000000000003  NGUYEN VINH HIEN   350653
21:54:05   21/05/2019 200000VND  4364050VND   10550     send    00000000000003  NGUYEN VINH HIEN   350655
