
18:38:33   19/05/2019 200000VND  9.9979e+08VND   0     send    00000000000003  NGUYEN VINH HIEN   350554
18:39:14   19/05/2019 200000VND  9.99789e+08VND   10550     send    00000000000003  NGUYEN VINH HIEN   350556
18:39:40   19/05/2019 200000VND  9.99579e+08VND   0     send    00000000000003  NGUYEN VINH HIEN   350558
18:39:45   19/05/2019 200000VND  9.99579e+08VND   10550     send    00000000000003  NGUYEN VINH HIEN   350560
18:40:45   19/05/2019 200000VND  9.99369e+08VND   0     send    00000000000003  NGUYEN VINH HIEN   350562
18:40:49   19/05/2019 200000VND  9.99368e+08VND   10550     send    00000000000003  NGUYEN VINH HIEN   350564
18:42:58   19/05/2019 200000VND  9.99158e+08VND   0     send    00000000000003  NGUYEN VINH HIEN   350566
18:43:03   19/05/2019 200000VND  9.99158e+08VND   10550     send    00000000000003  NGUYEN VINH HIEN   350568
18:43:23   19/05/2019 200000VND  9.98948e+08VND   0     send    00000000000003  NGUYEN VINH HIEN   350570
18:43:26   19/05/2019 200000VND  9.98947e+08VND   10550     send    00000000000003  NGUYEN VINH HIEN   350572
18:51:59   19/05/2019 200000VND  9.98737e+08VND   0     send    00000000000003  NGUYEN VINH HIEN   350584
18:52:03   19/05/2019 200000VND  9.98736e+08VND   10550     send    00000000000003  NGUYEN VINH HIEN   350586
18:56:11   19/05/2019 500000VND  9.98226e+08VND   0     send    00000000000004  TRAN BINH AN   350588
18:56:14   19/05/2019 500000VND  9.98225e+08VND   10550     send    00000000000004  TRAN BINH AN   350590
18:57:48   19/05/2019 5000000VND  9.93205e+08VND   0     send    00000000000003  NGUYEN VINH HIEN   350592
18:57:53   19/05/2019 5000000VND  9.93204e+08VND   20550     send    00000000000003  NGUYEN VINH HIEN   350594
