
18:02:12   19/05/2019 200000VND  200000VND   0         add     Not Applicable  N/A              350550
18:06:31   19/05/2019 200000VND  400000VND   0         add     Not Applicable  N/A              350551
18:26:12   19/05/2019 500000VND  1e+06VND   0         add     Not Applicable  N/A              350552
18:30:39   19/05/2019 200000VND  790000VND   0     send    00000000000003  NGUYEN VINH HIEN   350553
18:46:44   19/05/2019 50000VND  738450VND   1550      with    Not Applicable  N/A              350575
18:47:03   19/05/2019 200000VND  528450VND   0     send    00000000000003  NGUYEN VINH HIEN   350576
18:47:05   19/05/2019 200000VND  527900VND   10550     send    00000000000003  NGUYEN VINH HIEN   350578
18:47:38   19/05/2019 200000VND  317900VND   0     send    00000000000003  NGUYEN VINH HIEN   350580
18:47:40   19/05/2019 200000VND  317350VND   10550     send    00000000000003  NGUYEN VINH HIEN   350582
19:01:30   19/05/2019 100000VND  417350VND   0         add     Not Applicable  N/A              350596
